Year,Armenia,Bahrain,Bangladesh,Brunei Darussalam,"China, Hong Kong SAR","China, Taiwan Province of","China, mainland",India,Indonesia,Iran (Islamic Republic of),Israel,Japan,Jordan,Kazakhstan,Kyrgyzstan,Lebanon,Malaysia,Maldives,Mongolia,Myanmar,Oman,Pakistan,Philippines,Republic of Korea,Russian Federation,Singapore,Sri Lanka,Syrian Arab Republic,Tajikistan,Thailand,Turkey,United Arab Emirates,Uzbekistan,Viet Nam,Yemen
2002,13.2,452.7,281270.01,18.39,1114.03,309426.83,790714.64,227410.0,12090.07,30816.05,15319.14,329980.6,13571.3,880.61,1416.88,6251.78,106099.14,12.56,135.8,108207.3,7327.59,524254.9593333333,580948.47,714238.91,759.05,2902.53,322243.04,122933.0,19338.88,1513339.19,648210.55,4009.69,0.04,1603888.85,14031.92
2003,28.02,3069.15,12385.03,164.14,1079.59,329946.91,134937.2,110638.0,89.04,64324.55,52862.91,323321.0,11195.84,845.4,905.1,8951.02,214598.85,14.54,257.4,112591.17,75.0,8.0,720348.5,770900.87,22.6,15290.69,309638.24,79530.18,1724.8,1623095.37,696935.73,5681.18,0.68,1768332.46,8803.14
2004,3481.81,5588.01,303116.29,22.0,981.81,357590.38,37986.4,458586.87,2594.94,310320.42,60159.61,356505.0,10658.17,3277.69,990.9,10297.33,353892.21,23.35,488.09,45737.2,8138.07,51.0,543245.48,810541.78,88.67,18222.0,274998.92,229148.0,2000.0,1687654.17,942173.25,2288.84,0.25,1682610.88,34737.52
2005,3.2,4577.1,739783.07,16532.0,525.56,251329.96,70919.34,1576639.33,8937.26,248396.28,38441.12,389242.0,10579.8,3422.07,12015.48,4517.0,298334.65,16.33,62.6,3437.3,12535.11,555780.99,570420.7,833605.61,395.11,20582.4,301910.79,198805.0,0.0,1588362.28,808284.41,9204.65,12.790000000000001,983139.18,6746.6
2006,518.34,4466.06,1104629.03,17.51,386.86,240148.26,37548.05,3918887.82,1110.51,554539.65,35280.11,356018.01,12248.95,1802.65,8309.5,279.51,271243.93,11.75,304.47,27379.31,12098.41,589757.02,525858.69,622238.86,135.29,22899.09,354376.31,62643.19,0.0,1514897.49,1104413.38,62399.0,12.790000000000001,728750.9,18545.29
2007,0.2,831.5,755239.3,7.74,260.81,210791.08,541.64,5790046.53,1794.41,469144.62,57960.77,269489.99,11784.55,2072.23,33075.54,546.0,363736.78,12.9,420.0,1460.91,10057.36,91561.0,506093.51,694161.28,455.28,23307.58,280436.43,33841.49,21.5,1745135.87,1291451.42,28.33,57.24,740241.88,8385.66
2008,22.22,3222.13,789122.23,43.14,579.08,232471.53,67.37,5343706.28,9989.61,139.36,32486.5,228956.35,13265.71,7958.86,13616.9,4998.135333333334,420621.7,21.55,350.0,10169.29,16902.3,508796.02,524959.04,585660.99,1311.73,14508.56,416164.77,107090.68,337.0,1806531.44,1210530.11,375.23,2.4,721901.62,2955.99
2009,803.05,1816.52,943784.62,9.27,540.12,212266.98,38798.27,4591120.44,31551.57,60.06,41997.39,201176.0,5903.6,5223.47,14323.1,3450.81,204170.45,38.55,184.5,20894.39,11117.91,1100885.01,690407.87,498257.2,1179.45,5147.4,332221.51,144163.87,1008.5,2524098.76,1411028.57,3733.65,16.75,1425811.1,36646.13
2010,2082.31,4835.0,1305893.6,2.87,2284.81,251453.29,13256.22,4520118.46,39072.44,34.44,41556.21,243632.15,14537.83,7386.37,49155.19,4058.75,338810.32,17.25,493.53,6053.82,16426.25,727229.12,574748.39,540261.73,2717.73,3360.28,358713.28,70167.84,165.0,2368923.3,1285766.23,1612.12,0.05,985119.97,22299.68
2011,2023.57,6800.08,1640362.12,26.35,3217.29,219191.1,2063.59,4408214.47,53992.37,188.97,41908.06,240163.0,13830.31,35094.36,12615.72,7932.95,318915.82,26.68,420.0,274717.85,13579.57,1231541.21,536100.67,598597.95,10780.16,5885.38,420426.21,21773.47,5688.5,2269863.5,935754.64,9942.79,1.46,1127477.29,5277.13
2012,555.69,6611.42,503938.9,353.33,4340.09,201733.68,170978.16,6686178.62,145871.72,96.19,70084.92,245926.0,11388.13,14650.28,1929.23,3688.21,316014.47,37.92,240.11,268722.41,11757.95,1074156.01,596461.53,737894.91,21349.09,5621.58,314748.72,74950.81,5952.7,2340066.75,1178938.25,43986.31,6.4,504121.31,19661.73
2013,401.65,7100.52,716647.37,6.5,4111.61,191883.66,30443.31,8644240.17,64744.93,19.81,66413.72,279096.0,12339.89,14848.43,12882.28,1086.64,394609.45,2.9,511.08,190889.0,9926.25,775390.01,638175.18,740838.61,19008.82,5306.03,244735.89,141.92,7360.83,2394890.68,1540904.99,42766.98,3.52,797894.04,1072.57
2014,921.22,7754.4,763834.98,0.83,11014.52,183152.79,6359.19,7277073.6,120749.91,457.37,72924.78,281611.55,23018.4,13880.55,18634.076,6006.2,430928.11,26.95,415.56,299989.45,6586.99,584092.0,750440.01,709297.17,16071.61,9104.4,453690.87,3603.88,14534.13,2268284.63,1641338.07,33651.68,6.99,220624.79,48790.15
2015,949.76,4468.9,1173960.83,1.58,14079.01,160638.73,7639.63,9915149.74,95433.66,229.75,86220.98,263930.08,21250.81,19472.22,29835.39,282.19,362128.47,30.56,871.94,284000.27,2067.53,540420.0,678147.67,708644.56,5740.32,10261.06,440100.99,299.16,28562.51,2044079.92,1569831.74,2659.78,20.34,620830.75,725.5
2016,1561.68,76.91,594241.2,9.38,14198.32,156961.67,65794.32,6991686.94,625899.57,303.09,104589.73,288343.01,35152.91,21572.62,23829.5,8813.29,389574.67,25.57,925.71,132963.53,3245.77,39899.0,862584.75,819076.81,4821.81,11304.63,211184.12,33712.57,9535.29,2283487.99,2261393.23,14019.13,6.24,608082.0,37395.82
2017,3708.95,32.91,13132.93,8.0,16929.36,174251.0,5070.3,5944113.92,88461.51,436.7,116114.05,351500.31,14592.1,27846.07,64610.43,8810.35,386570.96,3.42,855.93,294316.58,1035.19,44258.0,1024182.53,798335.16,6531.54,12988.87,200793.44,6353.13,326.08,1998180.7560000003,2810930.18,20666.45,56.7,476853.3,25427.92
